"str_cia_CVM","dte_refer","dt_publi"
"CIA TECIDOS SANTANENSE","2011-09-30","2011-11-14"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2011-03-31","2011-05-16"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2011-06-30","2011-08-17"
"CIA TECIDOS NORTE DE MINAS COTEMINAS","2011-09-30","2011-11-14"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2011-03-31","2011-05-13"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2011-06-30","2011-08-08"
"MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S.A.","2011-09-30","2011-11-09"
"BCO ABC BRASIL S.A.","2011-03-31","2011-05-09"
"BCO ABC BRASIL S.A.","2011-06-30","2011-08-08"
"BCO ABC BRASIL S.A.","2011-09-30","2011-11-07"
"SUL AMERICA S.A.","2011-03-31","2011-05-05"
"SUL AMERICA S.A.","2011-06-30","2011-08-04"
"SUL AMERICA S.A.","2011-09-30","2011-11-03"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2011-03-31","2011-05-13"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2011-06-30","2011-08-15"
"PETROLEO BRASILEIRO S.A. PETROBRAS","2011-09-30","2011-11-11"
"LOJAS AMERICANAS S.A.","2011-03-31","2011-05-06"
"LOJAS AMERICANAS S.A.","2011-06-30","2011-08-04"
"LOJAS AMERICANAS S.A.","2011-09-30","2011-11-10"
"CIA SIDERURGICA NACIONAL","2011-03-31","2011-05-03"
"CIA SIDERURGICA NACIONAL","2011-06-30","2011-08-02"
"CIA SIDERURGICA NACIONAL","2011-09-30","2011-10-27"
"MONTEIRO ARANHA S.A.","2011-03-31","2011-09-17"
"MONTEIRO ARANHA S.A.","2011-06-30","2011-10-08"
"MONTEIRO ARANHA S.A.","2011-09-30","2011-11-14"
"ULTRAPAR PARTICIPACOES S.A.","2011-03-31","2011-05-11"
"ULTRAPAR PARTICIPACOES S.A.","2011-06-30","2011-08-10"
"ULTRAPAR PARTICIPACOES S.A.","2011-09-30","2011-11-09"
"VALE S.A.","2011-03-31","2011-05-05"
"VALE S.A.","2011-06-30","2011-07-28"
"VALE S.A.","2011-09-30","2011-10-26"
"GERDAU S.A.","2011-03-31","2011-05-12"
"GERDAU S.A.","2011-06-30","2011-08-04"
"GERDAU S.A.","2011-09-30","2011-11-10"
"BRASKEM S.A.","2011-03-31","2011-05-12"
"BRASKEM S.A.","2011-06-30","2011-08-11"
"BRASKEM S.A.","2011-09-30","2011-11-10"
"LOG-IN LOGISTICA INTERMODAL S.A.","2011-03-31","2011-05-11"
"LOG-IN LOGISTICA INTERMODAL S.A.","2011-06-30","2011-08-10"
"LOG-IN LOGISTICA INTERMODAL S.A.","2011-09-30","2011-11-08"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2011-03-31","2011-05-09"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2011-06-30","2011-08-10"
"EVEN CONSTRUTORA E INCORPORADORA S.A.","2011-09-30","2011-11-09"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2011-03-31","2011-05-11"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2011-06-30","2011-08-10"
"PROFARMA DISTRIB PROD FARMACEUTICOS S.A.","2011-09-30","2011-10-24"
"MAGAZINE LUIZA S.A.","2011-03-31","2011-05-16"
"MAGAZINE LUIZA S.A.","2011-06-30","2011-08-11"
"MAGAZINE LUIZA S.A.","2011-09-30","2011-11-10"
"HELBOR EMPREENDIMENTOS S.A.","2011-03-31","2011-05-16"
"HELBOR EMPREENDIMENTOS S.A.","2011-06-30","2011-08-11"
"HELBOR EMPREENDIMENTOS S.A.","2011-09-30","2011-11-14"
"BOMBRIL S.A.","2011-03-31","2011-05-19"
"BOMBRIL S.A.","2011-06-30","2011-08-15"
"BOMBRIL S.A.","2011-09-30","2012-01-13"
"VULCABRAS S.A.","2011-03-31","2011-05-16"
"VULCABRAS S.A.","2011-06-30","2011-08-16"
"VULCABRAS S.A.","2011-09-30","2011-11-29"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2011-03-31","2011-05-23"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2011-06-30","2011-08-12"
"NUTRIPLANT INDUSTRIA E COMERCIO S.A.","2011-09-30","2011-10-28"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2011-03-31","2011-05-13"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2011-06-30","2011-08-04"
"IGUATEMI EMPRESA DE SHOPPING CENTERS S.A","2011-09-30","2011-11-07"
"SAO MARTINHO S.A.","2011-06-30","2011-08-15"
"SAO MARTINHO S.A.","2011-09-30","2011-11-14"
"SAO MARTINHO S.A.","2011-12-31","2012-02-14"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2011-03-31","2011-05-16"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2011-06-30","2011-07-29"
"PLASCAR PARTICIPACOES INDUSTRIAIS S.A.","2011-09-30","2011-10-28"
"TOTVS S.A.","2011-03-31","2011-04-27"
"TOTVS S.A.","2011-06-30","2011-07-27"
"TOTVS S.A.","2011-09-30","2011-10-26"
"BICICLETAS MONARK S.A.","2011-03-31","2011-05-13"
"BICICLETAS MONARK S.A.","2011-06-30","2011-08-15"
"BICICLETAS MONARK S.A.","2011-09-30","2011-11-11"
"ODONTOPREV S.A.","2011-03-31","2011-05-10"
"ODONTOPREV S.A.","2011-06-30","2011-08-04"
"ODONTOPREV S.A.","2011-09-30","2011-11-03"
